ts_code,trade_date,turnover_rate_f,pe,pb
000300.SH,2010-01-04,1.82,27.56,3.31
000300.SH,2010-01-05,2.36,27.86,3.34
000300.SH,2010-01-06,2.16,27.6,3.31
000300.SH,2010-01-07,2.21,27.07,3.25
000300.SH,2010-01-08,1.67,27.05,3.25
000300.SH,2010-01-11,2.48,27.17,3.26
000300.SH,2010-01-12,2.58,27.65,3.32
000300.SH,2010-01-13,3.09,26.66,3.21
000300.SH,2010-01-14,2.29,26.95,3.24
000300.SH,2010-01-15,2.0,27.0,3.25
000300.SH,2010-01-18,2.28,27.06,3.25
000300.SH,2010-01-19,2.06,27.13,3.26
000300.SH,2010-01-20,2.54,26.35,3.17
000300.SH,2010-01-21,1.94,26.43,3.18
000300.SH,2010-01-22,2.45,26.28,3.16
000300.SH,2010-01-25,1.43,26.03,3.12
000300.SH,2010-01-26,1.69,25.47,3.05
000300.SH,2010-01-27,1.44,25.14,3.01
000300.SH,2010-01-28,1.29,25.14,3.01
000300.SH,2010-01-29,1.38,25.07,3.0
000300.SH,2010-02-01,1.56,24.65,2.95
000300.SH,2010-02-02,1.37,24.62,2.95
000300.SH,2010-02-03,1.77,25.27,3.03
000300.SH,2010-02-04,1.61,25.07,3.01
000300.SH,2010-02-05,1.62,24.6,2.95
000300.SH,2010-02-08,1.02,24.56,2.94
000300.SH,2010-02-09,0.98,24.62,2.96
000300.SH,2010-02-10,0.94,24.93,2.99
000300.SH,2010-02-11,0.98,24.94,3.0
000300.SH,2010-02-12,0.93,25.23,3.03
000300.SH,2010-02-22,1.04,25.07,3.01
000300.SH,2010-02-23,1.17,24.79,2.98
000300.SH,2010-02-24,1.36,25.08,3.01
000300.SH,2010-02-25,1.84,25.38,3.05
000300.SH,2010-02-26,1.42,25.29,3.03
000300.SH,2010-03-01,1.65,25.58,3.07
000300.SH,2010-03-02,1.56,25.39,3.05
000300.SH,2010-03-03,1.65,25.54,3.07
000300.SH,2010-03-04,1.89,24.91,3.01
000300.SH,2010-03-05,1.25,24.94,3.01
000300.SH,2010-03-08,1.13,25.1,3.03
000300.SH,2010-03-09,1.48,25.2,3.05
000300.SH,2010-03-10,1.26,24.97,3.03
000300.SH,2010-03-11,1.29,25.02,3.03
000300.SH,2010-03-12,1.09,24.59,3.0
000300.SH,2010-03-15,1.03,24.13,2.95
000300.SH,2010-03-16,0.84,24.24,2.96
000300.SH,2010-03-17,1.24,24.68,3.02
000300.SH,2010-03-18,1.28,24.6,3.01
000300.SH,2010-03-19,1.24,24.76,3.03
000300.SH,2010-03-22,1.34,24.74,3.03
000300.SH,2010-03-23,1.26,24.51,3.01
000300.SH,2010-03-24,1.2,23.77,3.0
000300.SH,2010-03-25,1.21,23.9,2.96
000300.SH,2010-03-26,1.28,23.99,2.98
000300.SH,2010-03-29,2.29,23.2,3.04
000300.SH,2010-03-30,1.52,23.28,3.04
000300.SH,2010-03-31,1.43,23.03,3.01
000300.SH,2010-04-01,1.83,23.29,3.04
000300.SH,2010-04-02,1.86,23.25,3.05
000300.SH,2010-04-06,1.76,23.21,3.05
000300.SH,2010-04-07,1.45,23.05,3.04
000300.SH,2010-04-08,1.67,22.24,2.97
000300.SH,2010-04-09,1.38,22.3,3.0
000300.SH,2010-04-12,2.0,22.11,2.97
000300.SH,2010-04-13,2.15,22.32,3.01
000300.SH,2010-04-14,1.62,22.38,3.01
000300.SH,2010-04-15,1.64,22.41,3.02
000300.SH,2010-04-16,1.26,22.03,2.98
000300.SH,2010-04-19,2.36,20.5,2.83
000300.SH,2010-04-20,1.71,20.33,2.81
000300.SH,2010-04-21,1.79,20.65,2.85
000300.SH,2010-04-22,1.9,20.48,2.81
000300.SH,2010-04-23,1.64,20.47,2.79
000300.SH,2010-04-26,1.36,20.37,2.77
000300.SH,2010-04-27,1.74,19.88,2.71
000300.SH,2010-04-28,1.22,19.78,2.68
000300.SH,2010-04-29,1.28,19.64,2.64
000300.SH,2010-04-30,1.45,19.81,2.6
000300.SH,2010-05-04,1.1,19.54,2.57
000300.SH,2010-05-05,1.57,19.59,2.57
000300.SH,2010-05-06,1.54,18.76,2.47
000300.SH,2010-05-07,1.6,18.43,2.42
000300.SH,2010-05-10,1.32,18.58,2.44
000300.SH,2010-05-11,1.53,18.27,2.4
000300.SH,2010-05-12,1.39,18.47,2.43
000300.SH,2010-05-13,1.44,18.83,2.48
000300.SH,2010-05-14,1.11,18.69,2.46
000300.SH,2010-05-17,1.36,17.8,2.34
000300.SH,2010-05-18,1.42,18.08,2.38
000300.SH,2010-05-19,1.19,18.02,2.37
000300.SH,2010-05-20,1.1,17.84,2.35
000300.SH,2010-05-21,1.42,18.03,2.37
000300.SH,2010-05-24,1.95,18.6,2.45
000300.SH,2010-05-25,1.44,18.19,2.4
000300.SH,2010-05-26,1.04,18.2,2.4
000300.SH,2010-05-27,1.39,18.39,2.44
000300.SH,2010-05-28,1.34,18.36,2.44
000300.SH,2010-05-31,1.2,17.98,2.39
000300.SH,2010-06-01,1.17,17.85,2.37
000300.SH,2010-06-02,1.03,17.81,2.36
000300.SH,2010-06-03,1.03,17.68,2.35
000300.SH,2010-06-04,0.85,17.65,2.36
000300.SH,2010-06-07,1.03,17.3,2.31
000300.SH,2010-06-08,0.91,17.3,2.31
000300.SH,2010-06-09,1.56,17.81,2.38
000300.SH,2010-06-10,1.11,17.62,2.35
000300.SH,2010-06-11,1.04,17.7,2.36
000300.SH,2010-06-17,0.84,17.67,2.36
000300.SH,2010-06-18,1.07,17.43,2.33
000300.SH,2010-06-21,1.42,17.95,2.4
000300.SH,2010-06-22,1.0,17.96,2.4
000300.SH,2010-06-23,0.91,17.8,2.38
000300.SH,2010-06-24,0.75,17.78,2.39
000300.SH,2010-06-25,0.78,17.71,2.38
000300.SH,2010-06-28,0.7,17.61,2.37
000300.SH,2010-06-29,1.24,16.91,2.27
000300.SH,2010-06-30,0.9,16.75,2.25
000300.SH,2010-07-01,0.81,16.72,2.24
000300.SH,2010-07-02,1.11,16.82,2.25
000300.SH,2010-07-05,0.79,16.71,2.24
000300.SH,2010-07-06,0.98,17.03,2.28
000300.SH,2010-07-07,0.88,17.1,2.29
000300.SH,2010-07-08,0.84,17.02,2.3
000300.SH,2010-07-09,1.44,17.4,2.35
000300.SH,2010-07-12,1.44,17.52,2.36
000300.SH,2010-07-13,1.06,17.24,2.32
000300.SH,2010-07-14,1.15,17.37,2.34
000300.SH,2010-07-15,0.99,17.06,2.29
000300.SH,2010-07-16,0.85,17.06,2.29
000300.SH,2010-07-19,1.3,17.44,2.33
000300.SH,2010-07-20,1.77,17.78,2.37
000300.SH,2010-07-21,1.71,17.81,2.38
000300.SH,2010-07-22,1.47,17.99,2.4
000300.SH,2010-07-23,1.56,18.08,2.41
000300.SH,2010-07-26,1.29,18.17,2.42
000300.SH,2010-07-27,1.2,18.07,2.41
000300.SH,2010-07-28,1.92,18.48,2.47
000300.SH,2010-07-29,2.25,18.27,2.44
000300.SH,2010-07-30,1.47,18.19,2.43
000300.SH,2010-08-02,1.68,18.42,2.46
000300.SH,2010-08-03,1.92,18.11,2.41
000300.SH,2010-08-04,1.67,18.15,2.42
000300.SH,2010-08-05,1.58,17.98,2.39
000300.SH,2010-08-06,1.76,18.22,2.43
000300.SH,2010-08-09,1.75,18.28,2.43
000300.SH,2010-08-10,1.84,17.79,2.37
000300.SH,2010-08-11,1.29,17.85,2.37
000300.SH,2010-08-12,1.4,17.64,2.35
000300.SH,2010-08-13,1.37,17.83,2.37
000300.SH,2010-08-16,1.9,18.22,2.42
000300.SH,2010-08-17,1.79,18.28,2.43
000300.SH,2010-08-18,1.65,18.23,2.42
000300.SH,2010-08-19,1.79,18.4,2.44
000300.SH,2010-08-20,1.67,18.11,2.4
000300.SH,2010-08-23,1.14,18.07,2.39
000300.SH,2010-08-24,1.42,18.12,2.39
000300.SH,2010-08-25,1.48,17.75,2.34
000300.SH,2010-08-26,1.13,17.78,2.34
000300.SH,2010-08-27,0.95,17.82,2.32
000300.SH,2010-08-30,1.53,18.07,2.35
000300.SH,2010-08-31,1.53,17.95,2.33
000300.SH,2010-09-01,1.79,17.87,2.32
000300.SH,2010-09-02,1.64,18.05,2.34
000300.SH,2010-09-03,1.69,18.02,2.34
000300.SH,2010-09-06,2.18,18.34,2.38
000300.SH,2010-09-07,1.71,18.34,2.38
000300.SH,2010-09-08,1.69,18.3,2.38
000300.SH,2010-09-09,1.89,18.03,2.34
000300.SH,2010-09-10,1.51,18.03,2.34
000300.SH,2010-09-13,1.56,18.18,2.36
000300.SH,2010-09-14,1.63,18.16,2.36
000300.SH,2010-09-15,1.66,17.91,2.33
000300.SH,2010-09-16,1.72,17.58,2.3
000300.SH,2010-09-17,1.2,17.57,2.29
000300.SH,2010-09-20,1.16,17.53,2.29
000300.SH,2010-09-21,0.83,17.58,2.29
000300.SH,2010-09-27,1.13,17.78,2.32
000300.SH,2010-09-28,1.36,17.65,2.3
000300.SH,2010-09-29,1.31,17.69,2.31
000300.SH,2010-09-30,1.45,17.99,2.35
000300.SH,2010-10-08,2.3,18.6,2.42
000300.SH,2010-10-11,3.66,19.14,2.49
000300.SH,2010-10-12,2.93,19.41,2.52
000300.SH,2010-10-13,3.33,19.58,2.54
000300.SH,2010-10-14,4.13,19.81,2.57
000300.SH,2010-10-15,4.4,20.55,2.67
000300.SH,2010-10-18,4.95,20.5,2.65
000300.SH,2010-10-19,2.97,20.81,2.68
000300.SH,2010-10-20,3.78,20.84,2.69
000300.SH,2010-10-21,2.81,20.66,2.66
000300.SH,2010-10-22,2.64,20.59,2.65
000300.SH,2010-10-25,3.3,21.14,2.72
000300.SH,2010-10-26,3.23,21.01,2.7
000300.SH,2010-10-27,2.8,20.67,2.65
000300.SH,2010-10-28,2.23,20.64,2.61
000300.SH,2010-10-29,2.27,20.48,2.56
000300.SH,2010-11-01,2.86,21.0,2.57
000300.SH,2010-11-02,3.5,20.96,2.57
000300.SH,2010-11-03,2.86,20.85,2.55
000300.SH,2010-11-04,2.64,21.21,2.6
000300.SH,2010-11-05,3.1,21.49,2.63
000300.SH,2010-11-08,2.83,21.62,2.64
000300.SH,2010-11-09,2.74,21.43,2.62
000300.SH,2010-11-10,2.69,21.28,2.6
000300.SH,2010-11-11,3.11,21.52,2.63
000300.SH,2010-11-12,3.6,20.47,2.5
000300.SH,2010-11-15,2.29,20.55,2.51
000300.SH,2010-11-16,2.42,19.68,2.4
000300.SH,2010-11-17,1.86,19.36,2.37
000300.SH,2010-11-18,1.46,19.62,2.39
000300.SH,2010-11-19,1.86,19.72,2.4
000300.SH,2010-11-22,1.85,19.63,2.39
000300.SH,2010-11-23,1.72,19.25,2.34
000300.SH,2010-11-24,1.68,19.41,2.36
000300.SH,2010-11-25,1.86,19.66,2.39
000300.SH,2010-11-26,1.44,19.46,2.36
000300.SH,2010-11-29,1.31,19.43,2.36
000300.SH,2010-11-30,1.91,19.2,2.32
000300.SH,2010-12-01,1.08,19.22,2.32
000300.SH,2010-12-02,1.35,19.41,2.35
000300.SH,2010-12-03,1.12,19.42,2.35
000300.SH,2010-12-06,1.25,19.57,2.37
000300.SH,2010-12-07,1.3,19.69,2.38
000300.SH,2010-12-08,1.32,19.49,2.36
000300.SH,2010-12-09,1.47,19.25,2.33
000300.SH,2010-12-10,1.27,19.44,2.35
000300.SH,2010-12-13,2.12,20.01,2.42
000300.SH,2010-12-14,1.86,20.03,2.41
000300.SH,2010-12-15,1.6,19.9,2.4
000300.SH,2010-12-16,1.25,19.88,2.38
000300.SH,2010-12-17,0.99,19.82,2.37
000300.SH,2010-12-20,1.65,19.54,2.34
000300.SH,2010-12-21,1.76,19.92,2.38
000300.SH,2010-12-22,1.54,19.74,2.36
000300.SH,2010-12-23,1.35,19.64,2.35
000300.SH,2010-12-24,1.22,19.52,2.33
000300.SH,2010-12-27,1.54,19.21,2.29
000300.SH,2010-12-28,1.24,18.91,2.26
000300.SH,2010-12-29,0.99,19.01,2.26
000300.SH,2010-12-30,1.19,19.08,2.27
000300.SH,2010-12-31,1.37,19.4,2.31
000300.SH,2011-01-04,1.9,20.18,2.42
000300.SH,2011-01-05,1.76,20.05,2.4
000300.SH,2011-01-06,1.32,19.91,2.38
000300.SH,2011-01-07,1.87,20.06,2.4
000300.SH,2011-01-10,1.45,19.76,2.36
000300.SH,2011-01-11,1.26,19.89,2.38
000300.SH,2011-01-12,1.3,20.0,2.39
000300.SH,2011-01-13,1.15,20.07,2.4
000300.SH,2011-01-14,1.18,19.85,2.37
000300.SH,2011-01-17,1.48,19.23,2.3
000300.SH,2011-01-18,0.95,19.24,2.3
000300.SH,2011-01-19,1.25,19.57,2.34
000300.SH,2011-01-20,1.35,19.01,2.27
000300.SH,2011-01-21,1.62,19.28,2.3
000300.SH,2011-01-24,1.45,19.15,2.29
000300.SH,2011-01-25,1.08,19.05,2.27
000300.SH,2011-01-26,0.96,19.24,2.3
000300.SH,2011-01-27,1.83,19.52,2.33
000300.SH,2011-01-28,1.39,19.52,2.33
000300.SH,2011-01-31,1.48,19.78,2.36
000300.SH,2011-02-01,1.1,19.82,2.36
000300.SH,2011-02-09,1.34,19.6,2.34
000300.SH,2011-02-10,1.47,19.9,2.37
000300.SH,2011-02-11,1.68,19.96,2.38
000300.SH,2011-02-14,2.68,20.52,2.44
000300.SH,2011-02-15,2.42,20.51,2.44
000300.SH,2011-02-16,2.02,20.65,2.46
000300.SH,2011-02-17,1.96,20.63,2.46
000300.SH,2011-02-18,1.66,20.47,2.43
000300.SH,2011-02-21,1.75,20.67,2.46
000300.SH,2011-02-22,2.38,20.14,2.39
000300.SH,2011-02-23,1.57,20.13,2.39
000300.SH,2011-02-24,1.46,20.22,2.4
000300.SH,2011-02-25,1.36,20.22,2.41
000300.SH,2011-02-28,1.69,20.35,2.42
000300.SH,2011-03-01,1.95,20.28,2.43
000300.SH,2011-03-02,1.78,20.22,2.43
000300.SH,2011-03-03,2.22,20.2,2.42
000300.SH,2011-03-04,1.76,20.45,2.46
000300.SH,2011-03-07,2.6,20.82,2.5
000300.SH,2011-03-08,1.87,20.78,2.5
000300.SH,2011-03-09,1.72,20.77,2.5
000300.SH,2011-03-10,1.72,20.42,2.46
000300.SH,2011-03-11,1.48,20.22,2.44
000300.SH,2011-03-14,1.4,20.22,2.44
000300.SH,2011-03-15,2.11,19.85,2.4
000300.SH,2011-03-16,1.73,20.05,2.43
000300.SH,2011-03-17,1.88,19.8,2.4
000300.SH,2011-03-18,1.35,19.06,2.4
000300.SH,2011-03-21,1.3,19.09,2.4
000300.SH,2011-03-22,1.26,19.13,2.41
000300.SH,2011-03-23,1.58,19.21,2.43
000300.SH,2011-03-24,1.34,19.13,2.43
000300.SH,2011-03-25,1.9,18.97,2.46
000300.SH,2011-03-28,2.14,18.01,2.44
000300.SH,2011-03-29,2.3,17.63,2.42
000300.SH,2011-03-30,1.71,16.59,2.42
000300.SH,2011-03-31,1.42,15.6,2.39
000300.SH,2011-04-01,1.39,15.61,2.42
000300.SH,2011-04-06,2.32,15.8,2.45
000300.SH,2011-04-07,1.86,15.77,2.45
000300.SH,2011-04-08,1.62,15.84,2.47
000300.SH,2011-04-11,2.29,15.77,2.46
000300.SH,2011-04-12,2.23,15.69,2.45
000300.SH,2011-04-13,1.91,15.86,2.48
000300.SH,2011-04-14,1.95,15.81,2.47
000300.SH,2011-04-15,1.72,15.85,2.48
000300.SH,2011-04-18,1.89,15.87,2.48
000300.SH,2011-04-19,1.86,15.56,2.43
000300.SH,2011-04-20,1.58,15.57,2.43
000300.SH,2011-04-21,1.6,15.6,2.44
000300.SH,2011-04-22,1.47,15.5,2.42
000300.SH,2011-04-25,1.62,15.29,2.39
000300.SH,2011-04-26,1.29,15.23,2.37
000300.SH,2011-04-27,1.36,15.17,2.36
000300.SH,2011-04-28,1.42,15.08,2.31
000300.SH,2011-04-29,1.17,15.11,2.28
000300.SH,2011-05-03,1.2,15.13,2.27
000300.SH,2011-05-04,1.45,14.78,2.22
000300.SH,2011-05-05,1.14,14.81,2.23
000300.SH,2011-05-06,1.2,14.74,2.22
000300.SH,2011-05-09,0.99,14.75,2.22
000300.SH,2011-05-10,0.88,14.84,2.23
000300.SH,2011-05-11,1.03,14.8,2.22
000300.SH,2011-05-12,1.05,14.6,2.2
000300.SH,2011-05-13,1.01,14.74,2.22
000300.SH,2011-05-16,0.97,14.61,2.2
000300.SH,2011-05-17,1.1,14.66,2.2
000300.SH,2011-05-18,0.85,14.76,2.22
000300.SH,2011-05-19,0.92,14.7,2.21
000300.SH,2011-05-20,0.82,14.72,2.21
000300.SH,2011-05-23,1.19,14.31,2.15
000300.SH,2011-05-24,0.89,14.27,2.14
000300.SH,2011-05-25,0.84,14.13,2.12
000300.SH,2011-05-26,0.79,14.13,2.12
000300.SH,2011-05-27,0.91,14.08,2.12
000300.SH,2011-05-30,0.74,14.13,2.12
000300.SH,2011-05-31,0.84,14.29,2.15
000300.SH,2011-06-01,0.82,14.27,2.15
000300.SH,2011-06-02,1.12,14.05,2.12
000300.SH,2011-06-03,0.83,14.15,2.14
000300.SH,2011-06-07,0.78,14.22,2.15
000300.SH,2011-06-08,0.9,14.24,2.15
000300.SH,2011-06-09,1.0,14.04,2.12
000300.SH,2011-06-10,0.89,14.04,2.13
000300.SH,2011-06-13,0.81,14.02,2.13
000300.SH,2011-06-14,1.18,14.15,2.16
000300.SH,2011-06-15,0.93,14.02,2.15
000300.SH,2011-06-16,0.86,13.85,2.13
000300.SH,2011-06-17,0.86,13.78,2.12
000300.SH,2011-06-20,0.79,13.69,2.11
000300.SH,2011-06-21,0.88,13.82,2.13
000300.SH,2011-06-22,0.78,13.85,2.13
000300.SH,2011-06-23,0.96,14.06,2.17
000300.SH,2011-06-24,1.79,14.32,2.22
000300.SH,2011-06-27,1.37,14.35,2.23
000300.SH,2011-06-28,1.16,14.36,2.23
000300.SH,2011-06-29,1.11,14.21,2.21
000300.SH,2011-06-30,1.3,14.37,2.23
000300.SH,2011-07-01,1.2,14.5,2.26
000300.SH,2011-07-04,1.7,14.76,2.3
000300.SH,2011-07-05,1.42,14.75,2.3
000300.SH,2011-07-06,1.29,14.69,2.29
000300.SH,2011-07-07,1.51,14.6,2.27
000300.SH,2011-07-08,1.08,14.63,2.28
000300.SH,2011-07-11,1.0,14.63,2.28
000300.SH,2011-07-12,1.2,14.38,2.24
000300.SH,2011-07-13,1.13,14.6,2.27
000300.SH,2011-07-14,1.26,14.66,2.28
000300.SH,2011-07-15,1.27,14.7,2.28
000300.SH,2011-07-18,1.25,14.67,2.28
000300.SH,2011-07-19,1.1,14.57,2.26
000300.SH,2011-07-20,0.91,14.56,2.26
000300.SH,2011-07-21,0.91,14.44,2.24
000300.SH,2011-07-22,0.76,14.45,2.24
000300.SH,2011-07-25,1.38,14.07,2.18
000300.SH,2011-07-26,0.89,14.14,2.19
000300.SH,2011-07-27,0.99,14.21,2.2
000300.SH,2011-07-28,0.99,14.14,2.19
000300.SH,2011-07-29,0.95,14.12,2.19
000300.SH,2011-08-01,0.7,14.12,2.19
000300.SH,2011-08-02,0.8,14.0,2.17
000300.SH,2011-08-03,0.79,13.99,2.17
000300.SH,2011-08-04,0.67,14.0,2.17
000300.SH,2011-08-05,1.01,13.73,2.12
000300.SH,2011-08-08,1.46,13.27,2.05
000300.SH,2011-08-09,1.43,13.29,2.04
000300.SH,2011-08-10,1.2,13.39,2.06
000300.SH,2011-08-11,1.2,13.55,2.08
000300.SH,2011-08-12,1.17,13.59,2.09
000300.SH,2011-08-15,1.22,13.76,2.12
000300.SH,2011-08-16,1.04,13.66,2.1
000300.SH,2011-08-17,0.8,13.63,2.09
000300.SH,2011-08-18,0.8,13.42,2.06
000300.SH,2011-08-19,0.85,13.29,2.03
000300.SH,2011-08-22,0.67,13.17,2.01
000300.SH,2011-08-23,0.64,13.36,2.03
000300.SH,2011-08-24,0.69,13.29,2.02
000300.SH,2011-08-25,1.42,13.71,2.08
000300.SH,2011-08-26,0.9,13.68,2.05
000300.SH,2011-08-29,0.87,13.48,2.01
000300.SH,2011-08-30,0.85,13.45,2.0
000300.SH,2011-08-31,0.63,13.49,2.01
000300.SH,2011-09-01,0.59,13.44,2.0
000300.SH,2011-09-02,0.58,13.3,1.98
000300.SH,2011-09-05,0.63,13.06,1.94
000300.SH,2011-09-06,0.59,13.01,1.94
000300.SH,2011-09-07,0.66,13.23,1.97
000300.SH,2011-09-08,0.53,13.16,1.96
000300.SH,2011-09-09,0.53,13.17,1.96
000300.SH,2011-09-13,0.53,13.04,1.94
000300.SH,2011-09-14,0.6,13.08,1.95
000300.SH,2011-09-15,0.61,13.04,1.95
000300.SH,2011-09-16,0.54,13.07,1.95
000300.SH,2011-09-19,0.57,12.85,1.92
000300.SH,2011-09-20,0.5,12.89,1.92
000300.SH,2011-09-21,1.11,13.22,1.97
000300.SH,2011-09-22,0.93,12.86,1.92
000300.SH,2011-09-23,0.84,12.8,1.91
000300.SH,2011-09-26,0.77,12.58,1.88
000300.SH,2011-09-27,0.69,12.71,1.9
000300.SH,2011-09-28,0.67,12.61,1.88
000300.SH,2011-09-29,0.73,12.54,1.87
000300.SH,2011-09-30,0.63,12.53,1.87
000300.SH,2011-10-10,0.56,12.46,1.86
000300.SH,2011-10-11,0.89,12.5,1.86
000300.SH,2011-10-12,1.3,12.86,1.92
000300.SH,2011-10-13,1.18,12.94,1.93
000300.SH,2011-10-14,0.75,12.91,1.93
000300.SH,2011-10-17,0.71,12.96,1.93
000300.SH,2011-10-18,0.77,12.69,1.89
000300.SH,2011-10-19,0.61,12.66,1.89
000300.SH,2011-10-20,0.78,12.42,1.85
000300.SH,2011-10-21,0.58,12.38,1.85
000300.SH,2011-10-24,0.91,12.67,1.89
000300.SH,2011-10-25,1.13,12.87,1.91
000300.SH,2011-10-26,1.43,12.95,1.93
000300.SH,2011-10-27,0.95,13.01,1.92
000300.SH,2011-10-28,1.4,13.19,1.92
000300.SH,2011-10-31,0.99,13.14,1.89
000300.SH,2011-11-01,1.08,13.15,1.9
000300.SH,2011-11-02,1.25,13.33,1.92
000300.SH,2011-11-03,1.65,13.34,1.92
000300.SH,2011-11-04,1.2,13.46,1.94
000300.SH,2011-11-07,0.88,13.34,1.92
000300.SH,2011-11-08,0.93,13.34,1.92
000300.SH,2011-11-09,0.91,13.43,1.93
000300.SH,2011-11-10,0.99,13.18,1.9
000300.SH,2011-11-11,0.71,13.18,1.9
000300.SH,2011-11-14,0.9,13.43,1.93
000300.SH,2011-11-15,0.81,13.4,1.93
000300.SH,2011-11-16,1.08,13.07,1.88
000300.SH,2011-11-17,0.68,13.05,1.88
000300.SH,2011-11-18,0.82,12.83,1.85
000300.SH,2011-11-21,0.54,12.82,1.85
000300.SH,2011-11-22,0.56,12.8,1.84
000300.SH,2011-11-23,0.55,12.72,1.83
000300.SH,2011-11-24,0.59,12.75,1.84
000300.SH,2011-11-25,0.46,12.66,1.82
000300.SH,2011-11-28,0.5,12.67,1.83
000300.SH,2011-11-29,0.58,12.81,1.85
000300.SH,2011-11-30,0.82,12.45,1.79
000300.SH,2011-12-01,1.23,12.74,1.84
000300.SH,2011-12-02,0.62,12.64,1.82
000300.SH,2011-12-05,0.62,12.57,1.81
000300.SH,2011-12-06,0.51,12.52,1.8
000300.SH,2011-12-07,0.45,12.55,1.8
000300.SH,2011-12-08,0.54,12.53,1.8
000300.SH,2011-12-09,0.47,12.47,1.79
000300.SH,2011-12-12,0.42,12.34,1.77
000300.SH,2011-12-13,0.69,12.16,1.75
000300.SH,2011-12-14,0.49,12.07,1.74
000300.SH,2011-12-15,0.71,11.83,1.7
000300.SH,2011-12-16,0.7,12.05,1.73
000300.SH,2011-12-19,0.73,12.0,1.73
000300.SH,2011-12-20,0.63,11.98,1.72
000300.SH,2011-12-21,0.6,11.86,1.71
000300.SH,2011-12-22,0.71,11.88,1.71
000300.SH,2011-12-23,0.64,11.97,1.72
